fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,red
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,1
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,1
7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5,1
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,1
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,1
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,1
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5,1
7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,5,1
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,1
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,1
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,1
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5,1
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,1
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,1
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,1
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,1
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5,1
9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5,1
8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5,1
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,1
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,1
